WBAN,Name,State,Location,Latitude,Longitude,StationHeight,Barometer,TimeZone
14954,MANKATO,MN,MANKATO MUNICIPAL AIRPORT,44.21667,-93.91667,310.9,,-6
14958,BEMIDJI,MN,BEMIDJI-BELTRAMI CO ARPT,47.5,-94.93333,423.67,,-6
14966,CHARLES CITY,IA,CHARLES CITY MUNICIPAL APT,43.0604,-92.6717,342.9,,-6
14972,SPENCER,IA,SPENCER MUNICIPAL AIRPORT,43.16444,-95.20167,407.82,44903.53,-6
14976,GRINNELL,IA,GRINNELL REGIONAL AIRPORT,41.71667,-92.7,307.24,0.0,-6
14989,YORK,NE,YORK MUNICIPAL AIRPORT,40.89417,-97.62583000000001,509.02,,-6
14990,CEDAR RAPIDS,IA,THE EASTERN IOWA AIRPORT,41.8833,-91.7166,265.48,29461.59,-6
14991,EAU CLAIRE,WI,CHIPPEWA VALLEY RGNL ARPT,44.8665,-91.4879,272.8,30071.14,-6
14992,REDWOOD FALLS,MN,REDWOOD FALLS MUNI AIRPORT,44.54833,-95.08028,313.94,34676.63,-6
14994,LEXINGTON,NE,JIM KELLY FIELD AIRPORT,40.78861,-99.77083,735.48,,-6
16201,KEFLAVIK,,NAVAL AIR STATION,63.96666999999999,-22.6,52.12,6671.19,0
21504,HILO,HI,HILO INTERNATIONAL AIRPORT,19.7191,-155.053,10.97,1591.6,-10
21508,CAMP POHAKULOA,HI,BRADSHAW ARMY AIRFIELD,19.76,-155.55361000000002,1798.32,0.0,-10
